global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
509,critic,capacity_insert,25,0,484,,-0.0016007731901481748,9.035618859343231e-05,0.0022775917313992977
600,critic,capacity_insert,75,0,500,,-0.0007545463158749044,0.0002698296448215842,0.0026976584922522306
647,critic,capacity_insert,59,0,488,,-0.0004999998491257429,0.0003617442853283137,0.0028504387009888887
714,critic,capacity_insert,68,0,487,,-0.0004999992670491338,0.00047214666847139597,0.003350438317283988
776,critic,capacity_insert,50,0,499,,-0.000499998452141881,0.0005102829309180379,0.0031976569443941116
835,critic,capacity_insert,68,0,490,,-0.0004998596850782633,0.0006159793119877577,0.0032612355425953865
900,critic,capacity_insert,75,0,480,,-1.8880703223089768e-08,0.0006934586563147604,0.0037612332962453365
977,actor,capacity_insert,25,0,486,"[253, 233]",-0.0036373171024024487,-0.00010932613076874986,0.004914444405585527
977,critic,capacity_insert,75,0,482,,-3.473833165568152e-10,0.0007413770072162151,0.0037612332962453365
1099,actor,capacity_insert,100,0,477,"[241, 236]",-0.001410039491020143,0.000451626576250419,0.005414242390543222
1099,critic,capacity_insert,89,15,500,,0.0,0.0007806794019415975,0.0039106709882617
1099,actor,scheduled_batch_boundary,24,0,453,"[229, 224]",-0.0011522861896082759,0.0005438027437776327,0.005414242390543222
1157,critic,capacity_insert,57,1,500,,0.0,0.0008484415011480451,0.004410670604556799
1288,actor,capacity_insert,75,0,491,"[231, 260]",-0.0007508070557378232,0.0006300443201325834,0.005339662078768015
1288,critic,capacity_insert,83,48,500,,0.0,0.000909980561118573,0.00462226802483201
1400,actor,capacity_insert,75,0,488,"[229, 259]",-0.0004688320041168481,0.0007155657513067126,0.005554585717618465
1400,critic,capacity_insert,63,49,500,,0.0,0.0009258395875804126,0.004916341044008732
1463,actor,capacity_insert,25,0,477,"[229, 248]",-0.0004995837807655334,0.0007319366559386253,0.005339879542589188
1463,critic,capacity_insert,55,8,500,,0.0,0.000981839606538415,0.005416340660303831
1587,actor,capacity_insert,75,0,495,"[239, 256]",-0.00046118334284983575,0.0007583349361084402,0.00508203636854887
1587,critic,capacity_insert,67,57,500,,0.0,0.0009980571921914816,0.005916339810937643
1669,actor,capacity_insert,50,0,483,"[231, 252]",-0.00023487440194003284,0.0008156861294992268,0.00518697127699852
1669,critic,capacity_insert,44,38,500,,0.0,0.0010282014263793826,0.005916339810937643
1725,critic,capacity_insert,28,28,500,,0.0,0.0010804642224684358,0.00641633989289403
1810,actor,capacity_insert,50,0,489,"[224, 265]",-0.00037196659832261503,0.0008602204034104943,0.005592986475676298
1810,critic,capacity_insert,51,34,500,,0.0,0.0011354630114510655,0.006916339509189129
1911,actor,capacity_insert,50,0,488,"[234, 254]",-0.00012751173926517367,0.0009303721017204225,0.006092929746955633
1911,critic,capacity_insert,40,61,500,,0.0,0.0011746912496164441,0.00641633989289403
1982,actor,capacity_insert,25,0,484,"[232, 252]",-0.0004993125912733376,0.000976101029664278,0.006592864170670509
1982,critic,capacity_insert,52,19,500,,0.0,0.001237498945556581,0.00591634027659893
2089,actor,capacity_insert,50,0,498,"[242, 256]",-0.0001614663633517921,0.0010340245207771659,0.007071699947118759
2089,critic,capacity_insert,63,44,500,,0.0,0.001276005757972598,0.00641633989289403
2089,actor,scheduled_batch_boundary,11,0,487,"[236, 251]",0.0,0.0010589953744783998,0.007071699947118759
2179,actor,capacity_insert,25,0,497,"[240, 257]",-0.00018531203386373818,0.0010832883417606354,0.006592653226107359
2179,critic,capacity_insert,44,46,500,,0.0,0.0013450479600578547,0.005916346330195665
2248,actor,capacity_insert,25,0,491,"[233, 258]",-0.00018161101615987718,0.0011030659079551697,0.007092577405273914
2248,critic,capacity_insert,33,36,500,,0.0,0.001379071269184351,0.005416346713900566
2321,actor,capacity_insert,25,0,499,"[235, 264]",-0.0004967885906808078,0.0010868143290281296,0.0075925178825855255
2321,critic,capacity_insert,48,25,500,,0.0,0.001408254262059927,0.005622262600809336
2387,actor,capacity_insert,25,0,500,"[228, 272]",-0.0004991614841856062,0.001107429969124496,0.008092180825769901
2387,critic,capacity_insert,35,31,500,,0.0,0.0014551695203408599,0.005916346330195665
2474,actor,capacity_insert,50,0,496,"[227, 269]",-6.977959856158122e-06,0.0011529696639627218,0.007969914004206657
2474,critic,capacity_insert,40,47,500,,0.0,0.0014511693734675646,0.005916346330195665
2591,actor,capacity_insert,42,18,500,"[232, 268]",0.0,0.0011731227859854698,0.007851742208003998
2591,critic,capacity_insert,44,73,500,,0.0,0.001495607546530664,0.005885636433959007
2668,actor,capacity_insert,42,0,489,"[225, 264]",0.0,0.001238907570950687,0.008351207710802555
2668,critic,capacity_insert,45,32,500,,0.0,0.0015306390123441815,0.006385616958141327
2806,actor,capacity_insert,66,15,500,"[232, 268]",0.0,0.001284961705096066,0.00785144791007042
2806,critic,capacity_insert,58,80,500,,0.0,0.0015594502910971642,0.006499740295112133
2915,actor,capacity_insert,50,10,500,"[238, 262]",0.0,0.001318613882176578,0.008351383730769157
2915,critic,capacity_insert,39,70,500,,0.0,0.0016032103449106216,0.006999727804213762
2997,actor,capacity_insert,43,0,492,"[227, 265]",0.0,0.0013530297437682748,0.008226180449128151
2997,critic,capacity_insert,37,45,500,,0.0,0.0016245065489783883,0.007000001613050699
3068,actor,capacity_insert,29,0,500,"[218, 282]",0.0,0.0013241262640804052,0.008100881241261959
3068,critic,capacity_insert,40,31,500,,0.0,0.0016658512176945806,0.006539464928209782
3135,actor,capacity_insert,25,0,499,"[212, 287]",0.0,0.0013495427556335926,0.008600495755672455
3135,critic,capacity_insert,25,42,500,,0.0,0.0016977473860606551,0.007039464078843594
3184,actor,capacity_insert,25,0,484,"[213, 271]",-9.817565296543762e-05,0.0013732861261814833,0.008472323417663574
3184,critic,capacity_insert,23,26,500,,0.0,0.0017527469899505377,0.007039464078843594
3253,actor,capacity_insert,25,0,481,"[208, 273]",-1.8919972717412747e-05,0.0014107231982052326,0.008972274139523506
3253,critic,capacity_insert,34,35,500,,0.0,0.0017889770679175854,0.0066222622990608215
3361,actor,capacity_insert,50,0,500,"[225, 275]",-1.001514738163678e-05,0.0013805731432512403,0.008472458459436893
3361,critic,capacity_insert,56,52,500,,0.0,0.001821504207327962,0.00649999687448144
3442,actor,capacity_insert,23,9,500,"[232, 268]",0.0,0.001442865002900362,0.008971852250397205
3442,critic,capacity_insert,29,52,500,,0.0,0.001831504050642252,0.006999982055276632
3525,actor,capacity_insert,29,20,500,"[237, 263]",0.0,0.0014613090315833688,0.008839803747832775
3525,critic,capacity_insert,31,52,500,,0.0,0.0018335041822865605,0.006999972742050886
3604,actor,capacity_insert,35,2,500,"[243, 257]",0.0,0.0015229788841679692,0.008339885622262955
3604,critic,capacity_insert,31,48,500,,0.0,0.0018155045108869672,0.007039464544504881
3675,actor,capacity_insert,33,0,497,"[244, 253]",0.0,0.0015418303664773703,0.00821481179445982
3675,critic,capacity_insert,39,32,500,,0.0,0.0018294965848326683,0.007039464544504881
3740,actor,capacity_insert,13,10,500,"[248, 252]",0.0,0.0015801903791725636,0.007721605710685253
3740,critic,capacity_insert,37,28,500,,0.0,0.0018589652609080076,0.007500001695007086
3824,actor,capacity_insert,26,13,500,"[253, 247]",0.0,0.0016200791578739882,0.007603616453707218
3824,critic,capacity_insert,38,46,500,,0.0,0.0018949656514450908,0.007000001613050699
3917,actor,capacity_insert,22,35,500,"[258, 242]",0.0,0.0016114487079903483,0.007255770731717348
3917,critic,capacity_insert,40,53,500,,0.0,0.0019049661932513118,0.0075000012293457985
4041,actor,capacity_insert,47,34,500,"[258, 242]",0.0,0.0016009925166144967,0.0077553847804665565
4041,critic,capacity_insert,54,70,500,,0.0,0.0019257961539551616,0.007499974686652422
4186,actor,capacity_insert,24,80,500,"[263, 237]",0.0,0.0016054632142186165,0.008255235850811005
4186,critic,capacity_insert,28,117,500,,0.0,0.0019417967414483428,0.007500001695007086
4289,actor,capacity_insert,28,36,500,"[261, 239]",0.0,0.0016191985923796892,0.007755339611321688
4289,critic,capacity_insert,34,69,500,,0.0,0.0019787997007369995,0.007569628767669201
4373,actor,capacity_insert,27,6,500,"[253, 247]",0.0,0.0016385295893996954,0.008082296699285507
4373,critic,capacity_insert,43,41,500,,0.0,0.0020733114797621965,0.008069628849625587
4468,actor,capacity_insert,31,18,500,"[252, 248]",0.0,0.0016553738387301564,0.007960142567753792
4468,critic,capacity_insert,43,52,500,,0.0,0.0021453078370541334,0.008444488979876041
4581,actor,capacity_insert,45,23,500,"[249, 251]",0.0,0.001708855153992772,0.007839388214051723
4581,critic,capacity_insert,36,77,500,,0.0,0.002182307420298457,0.008500001393258572
4682,actor,capacity_insert,27,29,500,"[248, 252]",0.0,0.001754607306793332,0.007340756710618734
4682,critic,capacity_insert,34,67,500,,0.0,0.0021963072940707207,0.008500001393258572
4755,actor,capacity_insert,25,0,492,"[240, 252]",-9.128253623202909e-06,0.001779823680408299,0.007840664125978947
4755,critic,capacity_insert,34,39,500,,0.0,0.002244291128590703,0.008817234076559544
4893,actor,capacity_insert,34,60,500,"[245, 255]",0.0,0.0018131196266040206,0.008017919957637787
4893,critic,capacity_insert,55,83,500,,0.0,0.0022772199008613825,0.00931723415851593
4978,actor,capacity_insert,17,28,500,"[247, 253]",0.0,0.0018357113003730774,0.007896502502262592
4978,critic,capacity_insert,29,56,500,,0.0,0.0022905974183231592,0.008817234076559544
5066,actor,capacity_insert,21,23,500,"[251, 249]",0.0,0.001847640611231327,0.008101457729935646
5066,critic,capacity_insert,26,62,500,,0.0,0.0023075982462614775,0.008817234076559544
5177,actor,capacity_insert,28,35,500,"[245, 255]",0.0,0.0018679409986361861,0.008601430803537369
5177,critic,capacity_insert,28,83,500,,0.0,0.0023266016505658627,0.00931723415851593
5305,actor,capacity_insert,38,48,500,"[245, 255]",0.0,0.0018505564657971263,0.008101820945739746
5305,critic,capacity_insert,39,89,500,,0.0,0.0023533140774816275,0.009817234240472317
5382,actor,capacity_insert,22,13,500,"[247, 253]",0.0,0.001891546999104321,0.007979443296790123
5382,critic,capacity_insert,33,44,500,,0.0,0.0023973132483661175,0.010317232459783554
5466,actor,capacity_insert,26,20,500,"[242, 258]",0.0,0.0019383943872526288,0.008479421027004719
5466,critic,capacity_insert,39,45,500,,0.0,0.00242531462572515,0.009817233309149742
5595,actor,capacity_insert,37,43,500,"[241, 259]",0.0,0.0019623683765530586,0.007979647256433964
5595,critic,capacity_insert,47,82,500,,0.0,0.0024423140566796064,0.010000139474868774
5756,actor,capacity_insert,34,88,500,"[242, 258]",0.0,0.0020035202614963055,0.008479408919811249
5756,critic,capacity_insert,45,116,500,,0.0,0.002424068981781602,0.009500140324234962
5852,actor,capacity_insert,30,16,500,"[244, 256]",0.0,0.0019907173700630665,0.008352772332727909
5852,critic,capacity_insert,25,71,500,,0.0,0.0024680686183273792,0.009999613277614117
5978,actor,capacity_insert,27,51,500,"[249, 251]",0.0,0.002027735346928239,0.0088527025654912
5978,critic,capacity_insert,37,89,500,,0.0,0.0025025191716849804,0.009999995119869709
6122,actor,capacity_insert,37,54,500,"[246, 254]",0.0,0.002083743689581752,0.009352631866931915
6122,critic,capacity_insert,44,100,500,,0.0,0.002553478814661503,0.01031722966581583
6257,actor,capacity_insert,15,71,500,"[248, 252]",0.0,0.0020957638043910265,0.008857009932398796
6257,critic,capacity_insert,37,98,500,,0.0,0.002564480761066079,0.010817229747772217
6349,actor,capacity_insert,23,21,500,"[251, 249]",0.0,0.002127497224137187,0.009356853552162647
6349,critic,capacity_insert,33,59,500,,0.0,0.002622479572892189,0.010539447888731956
6439,actor,capacity_insert,15,26,500,"[255, 245]",0.0,0.002146939979866147,0.009220682084560394
6439,critic,capacity_insert,22,68,500,,0.0,0.0026404643431305885,0.011039447039365768
6494,actor,capacity_insert,18,0,489,"[253, 236]",0.0,0.0021820373367518187,0.009720612317323685
6494,critic,capacity_insert,16,39,500,,0.0,0.002700464567169547,0.011539447121322155
6577,actor,capacity_insert,13,9,500,"[258, 242]",0.0,0.002120897639542818,0.009578376077115536
6577,critic,capacity_insert,17,66,500,,0.0,0.002719463314861059,0.011539447121322155
6655,actor,capacity_insert,19,9,500,"[256, 244]",0.0,0.0021622900385409594,0.00943987350910902
6655,critic,capacity_insert,10,68,500,,0.0,0.002731458516791463,0.012039422988891602
6757,actor,capacity_insert,17,39,500,"[254, 246]",0.0,0.002183161908760667,0.008940101601183414
6757,critic,capacity_insert,37,65,500,,0.0,0.0027424590662121773,0.012039422988891602
7011,actor,capacity_insert,30,190,500,"[245, 255]",0.0,0.0021872331853955984,0.009439382702112198
7011,critic,capacity_insert,46,208,500,,0.0,0.0027228600811213255,0.012039422988891602
7077,actor,capacity_insert,12,3,500,"[244, 256]",0.0,0.0022189547307789326,0.009302339516580105
7077,critic,capacity_insert,26,40,500,,0.0,0.002741859992966056,0.011539424769580364
7281,actor,capacity_insert,30,128,500,"[249, 251]",0.0,0.00229186681099236,0.009166746400296688
