global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
62,4,62,49.5064582824707,-0.0069315326400101185,-6.152737341835746e-08,49.513389587402344,,,,False,0.6931471228599548,0.6931471228599548,1.0,1.0,1.0,0.0,1.0,6.375718593597412,-1.0767290348212555e-07,6.375718593597412,nnknn_target_value_model,0,0,62,0,0,62,62,0,0,0,0,15.5,0,4,nnknn,62,nnknn,62,"[26, 36]",0.0,0.0,0.0
160,4,98,37.48481369018555,-0.0064442576840519905,7.036388706183061e-05,37.49125671386719,,,,False,0.6514621376991272,0.6931471228599548,0.9986003041267395,0.9979860186576843,0.9992146492004395,0.0,1.0,3.849813461303711,8.758233605021815e-08,11.477030754089355,nnknn_target_value_model,0,0,76,0,0,76,98,0,0,0,0,24.5,0,4,nnknn,138,nnknn,160,"[63, 75]",-0.0004998929216526449,-4.704434104496613e-05,0.0004999724333174527
238,4,78,25.99204444885254,-0.006539404857903719,-1.032841555570485e-05,25.998584747314453,26.132801055908203,0.4030924439430237,10.636014938354492,True,0.65290766954422,0.6931469440460205,0.9974857568740845,0.9969980120658875,0.9979733228683472,1.066204120547809e-07,1.0,0.7396657466888428,-1.2226593959496768e-08,11.350380897521973,nnknn_target_value_model,0,0,36,0,0,36,78,0,0,0,0,19.5,0,4,nnknn,174,nnknn,238,"[82, 92]",-0.0010001739719882607,-8.98517100722529e-05,0.0009950348176062107
302,4,64,12.21640396118164,-0.006666629575192928,-0.00022866763174533844,12.22307014465332,,,,False,0.6437962055206299,0.6931465864181519,0.9965863227844238,0.9961873292922974,0.9969853162765503,2.934021097189543e-07,1.0,-0.8738356828689575,-7.450580596923828e-09,9.135902404785156,nnknn_target_value_model,0,0,19,0,0,19,64,0,0,0,0,16.0,0,4,nnknn,193,nnknn,302,"[90, 103]",-0.0014814304886385798,-0.00013676699018105865,0.00137795798946172
399,4,97,24.02726173400879,-0.006740444339811802,-0.00039203878259286284,24.03400230407715,23.7490234375,0.5201214551925659,10.534753799438477,True,0.6348405480384827,0.6931460499763489,0.9955666661262512,0.9949586391448975,0.996174693107605,5.514010013030202e-07,0.9999999403953552,1.8482614755630493,3.8097812904425155e-08,12.316872596740723,nnknn_target_value_model,0,0,56,0,0,56,97,0,0,0,0,24.25,0,4,nnknn,249,nnknn,399,"[117, 132]",-0.0019663444254547358,-0.00014251247921492904,0.0018041189759969711
507,4,108,40.9915657043457,-0.00674006761983037,-0.0004444718360900879,40.99830627441406,,,,False,0.6295595765113831,0.6931452751159668,0.9942683577537537,0.9935906529426575,0.9949460029602051,7.500616447941866e-07,1.0,2.9806010723114014,4.4151589051466544e-09,14.176270484924316,nnknn_target_value_model,0,0,61,0,0,61,108,25,0,0,0,27.0,0,4,nnknn,310,nnknn,482,"[148, 162]",-0.0024331812746822834,-0.0001609197788638994,0.0022249575704336166
603,4,96,15.784429550170898,-0.006729393731802702,-0.0002798729983624071,15.791158676147461,,,,False,0.6449520587921143,0.6931449174880981,0.9929763674736023,0.9923746585845947,0.9935780167579651,9.395712368132081e-07,1.0,0.6071758270263672,2.4835269396561444e-09,12.428659439086914,nnknn_target_value_model,0,0,50,0,0,50,96,96,0,0,0,24.0,0,4,nnknn,360,nnknn,482,"[174, 186]",-0.0028251600451767445,-0.00017891597235575318,0.0025666344445198774
728,4,125,68.05803680419922,-0.0070839934051036835,-0.0007139099179767072,68.06512451171875,67.7093505859375,0.2912241816520691,12.326987266540527,True,0.6370083689689636,0.693143367767334,0.9915767312049866,0.9907913208007812,0.9923620223999023,1.1713801768564736e-06,1.0,3.8932607173919678,-4.148483512267376e-08,16.205598831176758,nnknn_target_value_model,0,0,80,0,0,80,125,120,0,0,0,31.25,0,4,nnknn,440,nnknn,487,"[216, 224]",-0.0031842640601098537,-0.0001702876907074824,0.002947133267298341
826,4,98,26.871767044067383,-0.0073479097336530685,-0.001029270002618432,26.879114151000977,,,,False,0.6318640112876892,0.6931416988372803,0.9901642799377441,0.989549994468689,0.9907786846160889,1.2695152236119611e-06,1.0,-0.5718291997909546,1.216421274818913e-08,13.398601531982422,nnknn_target_value_model,0,0,45,0,0,45,98,84,1,0,0,24.5,0,4,nnknn,485,nnknn,500,"[240, 245]",-0.0035122381523251534,-0.0001747998467180878,0.003282518358901143
921,4,95,30.734296798706055,-0.007516537792980671,-0.0014871873427182436,30.74181365966797,30.803165435791016,0.38422417640686035,12.974430084228516,True,0.6029350757598877,0.6931369304656982,0.9889420866966248,0.9883466958999634,0.9895373582839966,1.4464067135122605e-06,1.0,0.08055797964334488,1.0038677444867972e-08,13.072392463684082,nnknn_target_value_model,0,0,42,50,0,42,95,74,21,0,0,23.75,0,4,nnknn,477,nnknn,500,"[250, 227]",-0.002087210537865758,8.98490907275118e-05,0.003580209333449602
1027,4,106,31.101953506469727,-0.006654791999608278,-0.000872400589287281,31.10860824584961,,,,False,0.5782391428947449,0.6931312084197998,0.987669050693512,0.9870039820671082,0.9883340001106262,1.0052701782115037e-06,1.0,1.418864130973816,-4.498463823665588e-09,13.474096298217773,nnknn_target_value_model,0,0,60,50,0,60,106,91,15,0,0,26.5,0,4,nnknn,487,nnknn,500,"[260, 227]",-0.0013618074590340257,0.00018462016305420548,0.004079900216311216
1133,4,106,19.518760681152344,-0.008237645961344242,-0.0023732613772153854,19.52699851989746,,,,False,0.5864384770393372,0.6931284666061401,0.9863263964653015,0.9856613278388977,0.9869913458824158,8.039599492803973e-07,1.0,0.5431222319602966,-2.699078294199353e-08,14.044358253479004,nnknn_target_value_model,0,0,56,25,0,56,106,68,38,0,0,26.5,0,4,nnknn,493,nnknn,500,"[265, 228]",-0.0009990012040361762,0.00029068885487504303,0.004004846792668104
1213,4,80,17.34814453125,-0.008569915778934956,-0.002685803221538663,17.356714248657227,17.219221115112305,0.6395389437675476,13.06737995147705,True,0.588411271572113,0.6931257843971252,0.9851483702659607,0.9846479892730713,0.9856486916542053,7.917522566458501e-07,1.0,-1.7519983053207397,1.4901161193847656e-08,11.320456504821777,nnknn_target_value_model,0,0,31,25,0,31,80,59,21,0,0,20.0,0,4,nnknn,499,nnknn,500,"[268, 231]",-0.0009965363424271345,0.00037480375613085926,0.004144713282585144
1311,4,98,42.66471481323242,-0.0076529295183718204,-0.002012920565903187,42.672367095947266,,,,False,0.5640009045600891,0.693117618560791,0.984021008014679,0.983406662940979,0.9846353530883789,9.055211762643012e-07,1.0,1.7090637683868408,2.0679161494285836e-08,15.394679069519043,nnknn_target_value_model,0,0,50,50,0,50,98,54,44,0,0,24.5,0,4,nnknn,499,nnknn,500,"[261, 238]",-0.0005409711156971753,0.00045428768498823047,0.004117774311453104
1372,4,61,12.898266792297363,-0.008812768384814262,-0.0031407815404236317,12.907079696655273,12.65986156463623,0.7042151689529419,10.918439865112305,True,0.5671986937522888,0.6931150555610657,0.983013927936554,0.9826340079307556,0.9833940267562866,8.825409736346046e-07,0.9999999403953552,-2.1779866218566895,-3.908500900706713e-08,8.809680938720703,nnknn_target_value_model,0,0,10,25,0,10,61,52,9,0,0,15.25,0,4,nnknn,484,nnknn,500,"[254, 230]",-0.000500370457302779,0.0005345003446564078,0.004617415834218264
1445,4,73,12.962057113647461,-0.007437010761350393,-0.0023574591614305973,12.969493865966797,,,,False,0.5079551935195923,0.6930971741676331,0.9821653962135315,0.981709361076355,0.9826213121414185,1.0467781521583674e-06,1.0,-1.5265520811080933,1.3064031634257844e-08,10.372774124145508,nnknn_target_value_model,0,0,23,25,0,23,73,54,19,0,0,18.25,0,4,nnknn,482,nnknn,500,"[252, 230]",-0.0004999195807613432,0.0005556242540478706,0.004537300672382116
1502,4,57,11.417091369628906,-0.007981790229678154,-0.0030667404644191265,11.425073623657227,,,,False,0.4915049374103546,0.6930871605873108,0.9813420176506042,0.9809873104095459,0.9816966652870178,1.1307522527204128e-06,1.0,-2.0806612968444824,0.0,7.949313640594482,nnknn_target_value_model,0,0,14,0,0,14,57,42,15,0,0,14.25,0,4,nnknn,496,nnknn,500,"[259, 237]",-0.0009988687233999372,0.0005591609515249729,0.005037243478000164
1604,4,102,16.671913146972656,-0.008144989609718323,-0.0031927800737321377,16.680057525634766,16.537273406982422,0.678939700126648,11.545390129089355,True,0.49522101879119873,0.6930826306343079,0.9803350567817688,0.9796953201293945,0.9809746742248535,1.2325499483267777e-06,1.0,1.2298460006713867,-2.103693397259576e-08,12.766403198242188,nnknn_target_value_model,0,0,61,75,0,61,102,64,38,0,0,25.5,0,4,nnknn,482,nnknn,500,"[240, 242]",-0.00037182524101808667,0.0006944157066754997,0.0053186011500656605
1725,4,121,43.843788146972656,-0.007883536629378796,-0.002461704658344388,43.8516731262207,,,,False,0.5421832203865051,0.6930899620056152,0.9789226651191711,0.9781626462936401,0.9796826839447021,1.4256005442803144e-06,0.9999999403953552,3.0415496826171875,4.433402978065715e-08,14.910299301147461,nnknn_target_value_model,0,0,73,75,0,73,121,74,47,0,0,30.25,0,4,nnknn,480,nnknn,500,"[229, 251]",-0.0003831307985819876,0.0007929474813863635,0.00482418667525053
1792,4,67,16.900362014770508,-0.009437846019864082,-0.004423653706908226,16.909799575805664,16.649261474609375,0.5062157511711121,11.117072105407715,True,0.5014193058013916,0.69306480884552,0.9777319431304932,0.9773139953613281,0.9781500101089478,1.5604563259330462e-06,1.0,-1.4653303623199463,-3.558486172394737e-09,9.656264305114746,nnknn_target_value_model,0,0,23,25,0,23,67,53,14,0,0,16.75,0,4,nnknn,478,nnknn,500,"[225, 253]",-0.0004997262149117887,0.0008450733730569482,0.005323647055774927
1860,4,68,18.675464630126953,-0.007815992459654808,-0.003233161987736821,18.68328094482422,,,,False,0.45828303694725037,0.6930437684059143,0.976876974105835,0.976452648639679,0.9773013591766357,1.7581460269866511e-06,1.0,-1.1046106815338135,0.0,9.735082626342773,nnknn_target_value_model,0,0,28,25,0,28,68,49,19,0,0,17.0,0,4,nnknn,481,nnknn,500,"[225, 256]",-0.0004998095682822168,0.0008701920160092413,0.00482377503067255
1996,4,136,63.105770111083984,-0.010296059772372246,-0.005635068751871586,63.116065979003906,,,,False,0.46609917283058167,0.6930341124534607,0.9755850434303284,0.9747300148010254,0.9764400124549866,1.7693416793918004e-06,1.0,3.7434117794036865,2.8049244704675402e-08,17.74595832824707,nnknn_target_value_model,0,0,81,75,0,81,136,47,89,0,0,34.0,0,4,nnknn,487,nnknn,500,"[239, 248]",-1.817285556171555e-05,0.0009098531445488334,0.00532345799729228
2095,4,99,30.842660903930664,-0.008387965150177479,-0.0038830379489809275,30.851049423217773,30.28707504272461,0.4724709391593933,12.461383819580078,True,0.4504927694797516,0.6930125951766968,0.9740966558456421,0.973475992679596,0.9747173190116882,1.8058657360597863e-06,1.0,1.0145683288574219,3.612402821318028e-09,13.401220321655273,nnknn_target_value_model,0,0,54,50,0,54,99,55,44,0,0,24.75,0,4,nnknn,491,nnknn,500,"[243, 248]",-6.98149824529537e-06,0.0009402028517797589,0.00581999821588397
2186,4,91,16.129737854003906,-0.012780960649251938,-0.008288541808724403,16.142518997192383,,,,False,0.44924190640449524,0.6929981112480164,0.9728932976722717,0.9723233580589294,0.9734633564949036,1.982322601179476e-06,1.0,0.2864436209201813,6.549961129032056e-10,12.363265037536621,nnknn_target_value_model,0,0,44,50,0,44,91,55,36,0,0,22.75,0,4,nnknn,478,nnknn,500,"[229, 249]",-8.04006617727282e-07,0.0009933077963069081,0.00572306290268898
2296,4,110,42.14225387573242,-0.00960890669375658,-0.004649747163057327,42.15186309814453,42.05125045776367,0.36412811279296875,11.56080150604248,True,0.495915949344635,0.693010687828064,0.9716202616691589,0.9709299802780151,0.9723106622695923,2.1651032966474304e-06,0.9999999403953552,2.660346746444702,1.3004649801473533e-08,14.216672897338867,nnknn_target_value_model,0,0,70,50,0,70,110,54,56,0,0,27.5,0,4,nnknn,498,nnknn,500,"[236, 262]",-0.00041039541247300804,0.001002697041258216,0.005359407514333725
2385,4,89,18.64531135559082,-0.009662541560828686,-0.00500211538746953,18.65497398376465,,,,False,0.4660426080226898,0.6929794549942017,0.9703599810600281,0.9698026776313782,0.9709173440933228,2.158800953111495e-06,1.0,0.22068507969379425,1.6073162356633475e-08,12.332721710205078,nnknn_target_value_model,0,0,33,50,0,33,89,36,53,0,0,22.25,0,4,nnknn,481,nnknn,500,"[223, 258]",-2.0569237335621438e-07,0.0010860925540328026,0.005270849913358688
