global_step,episode,episode_return,episode_length,epsilon,loss,mean_q_value,dictionary_entries,dictionary_min_entries,q_values
18,1,18.0,18,0.9997846666666667,,,18,6,"[0.0, 0.0]"
32,2,14.0,14,0.9996073333333333,,,32,11,"[0.0, 4.268570899963379]"
44,3,12.0,12,0.9994553333333334,,,44,21,"[10.37431526184082, 10.35179328918457]"
62,4,18.0,18,0.9992273333333334,,,62,26,"[7.515199661254883, 3.0899875164031982]"
85,5,23.0,23,0.998936,,,85,36,"[9.853858947753906, 5.9019856452941895]"
145,6,60.0,60,0.998176,,,145,63,"[5.742664337158203, 1.9423727989196777]"
160,7,15.0,15,0.997986,,,160,72,"[15.275864601135254, 26.18135643005371]"
197,8,37.0,37,0.9975173333333334,,,197,88,"[4.586423873901367, 2.243501663208008]"
260,9,63.0,63,0.9967193333333333,,,260,121,"[5.065464496612549, 14.199834823608398]"
277,10,17.0,17,0.996504,,,277,128,"[8.214006423950195, 3.37109112739563]"
297,11,20.0,20,0.9962506666666666,,,297,136,"[5.954263687133789, 3.543315887451172]"
322,12,25.0,25,0.995934,,,322,150,"[6.5276384353637695, 21.517942428588867]"
334,13,12.0,12,0.995782,,,334,158,"[4.4849700927734375, 9.04370403289795]"
349,14,15.0,15,0.995592,,,349,164,"[5.055819988250732, 3.305393695831299]"
366,15,17.0,17,0.9953766666666667,,,366,168,"[2.8525314331054688, 1.8314965963363647]"
387,16,21.0,21,0.9951106666666667,,,387,174,"[2.6936681270599365, 2.0559606552124023]"
408,17,21.0,21,0.9948446666666667,,,408,182,"[3.9332451820373535, 2.8530101776123047]"
422,18,14.0,14,0.9946673333333333,,,422,187,"[3.3927221298217773, 2.6148855686187744]"
455,19,33.0,33,0.9942493333333333,,,455,204,"[13.853853225708008, 21.45685577392578]"
468,20,13.0,13,0.9940846666666666,,,468,212,"[5.255715370178223, 5.749238967895508]"
498,21,30.0,30,0.9937046666666667,,,498,224,"[2.5073866844177246, 2.481922149658203]"
526,22,28.0,28,0.99335,,,526,237,"[9.22445297241211, 21.75995445251465]"
553,23,27.0,27,0.993008,,,553,253,"[3.6515541076660156, 4.917017459869385]"
578,24,25.0,25,0.9926913333333334,,,578,264,"[6.100234031677246, 2.8203341960906982]"
595,25,17.0,17,0.992476,,,595,275,"[4.232091903686523, 4.754851341247559]"
613,26,18.0,18,0.992248,,,613,282,"[4.1111531257629395, 2.8786840438842773]"
626,27,13.0,13,0.9920833333333333,,,626,288,"[22.097110748291016, 5.629542827606201]"
638,28,12.0,12,0.9919313333333334,,,638,293,"[5.000288009643555, 3.7624001502990723]"
697,29,59.0,59,0.991184,,,697,321,"[4.451166152954102, 4.153657913208008]"
710,30,13.0,13,0.9910193333333334,,,710,325,"[3.680405855178833, 2.423279285430908]"
727,31,17.0,17,0.990804,,,727,335,"[3.4586284160614014, 5.3151655197143555]"
740,32,13.0,13,0.9906393333333333,,,740,343,"[3.380565643310547, 3.1548705101013184]"
768,33,28.0,28,0.9902846666666667,,,768,359,"[3.538572311401367, 2.2553720474243164]"
780,34,12.0,12,0.9901326666666667,,,780,366,"[3.873692512512207, 6.327861309051514]"
791,35,11.0,11,0.9899933333333333,,,791,368,"[2.7418212890625, 2.120187282562256]"
832,36,41.0,41,0.989474,,,832,383,"[2.230668783187866, 1.7353943586349487]"
850,37,18.0,18,0.989246,,,850,394,"[3.325261354446411, 2.8581786155700684]"
869,38,19.0,19,0.9890053333333333,,,869,403,"[3.837400436401367, 2.2120368480682373]"
880,39,11.0,11,0.988866,,,880,407,"[3.949699878692627, 2.585148811340332]"
893,40,13.0,13,0.9887013333333333,,,893,413,"[3.380720376968384, 1.7860701084136963]"
930,41,37.0,37,0.9882326666666666,,,930,430,"[4.749784469604492, 2.863189697265625]"
966,42,36.0,36,0.9877766666666666,,,966,449,"[3.1673965454101562, 3.5119168758392334]"
978,43,12.0,12,0.9876246666666667,,,978,452,"[2.2953970432281494, 1.919145941734314]"
1032,44,54.0,54,0.9869406666666667,,,1032,480,"[2.6173627376556396, 1.9880489110946655]"
1061,45,29.0,29,0.9865733333333333,5.809759140014648,11.634206771850586,1061,497,"[3.3414371013641357, 2.172281503677368]"
1076,46,15.0,15,0.9863833333333333,5.61454963684082,13.172664642333984,1076,502,"[6.571637153625488, 2.080960750579834]"
