global_step,episodes,samples,loss,actor_loss,policy_loss,critic_optimization_mse,critic_train_mse,critic_train_explained_variance,critic_train_value_mean,critic_train_diagnostics_computed,entropy,behavior_entropy,mean_behavior_epsilon,min_behavior_epsilon,max_behavior_epsilon,bias_loss,mean_reward,mean_advantage,mean_normalized_advantage,value_target_mean,bootstrap_value_source,partial_rollout_segments,partial_rollout_samples,actor_cases_added,actor_cases_pruned,actor_cases_replaced,actor_positive_advantage_samples,critic_cases_added,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,mean_episode_return,reward_varying_episodes,reward_checked_episodes,actor_type,case_entries,critic_type,critic_case_entries,action_counts,bias_min,bias_mean,bias_max
139,4,139,125.43025207519531,-0.010354145430028439,-0.0034286051522940397,125.44060516357422,,,,False,0.6925540566444397,0.6925540566444397,0.0,0.0,0.0,0.0,1.0,10.338744163513184,-1.0291449825672316e-07,10.338744163513184,nnknn_target_value_model,0,0,0,0,0,139,139,0,0,0,0,34.75,0,4,mlp,,nnknn,139,,,,
215,4,76,30.353702545166016,-0.014960190281271935,-0.008036305196583271,30.368661880493164,,,,False,0.6923884749412537,0.6923884749412537,0.0,0.0,0.0,0.0,1.0,-1.003889560699463,-1.8822518654815212e-08,11.3960542678833,nnknn_target_value_model,0,0,0,0,0,37,76,0,0,0,0,19.0,0,4,mlp,,nnknn,215,,,,
287,4,72,9.456597328186035,-0.023212457075715065,-0.0163000226020813,9.479809761047363,9.462721824645996,0.7068601846694946,10.917872428894043,True,0.6912434697151184,0.6912434697151184,0.0,0.0,0.0,0.0,1.0,-0.9601332545280457,1.6556845894299954e-09,9.966108322143555,nnknn_target_value_model,0,0,0,0,0,24,72,0,0,0,0,18.0,0,4,mlp,,nnknn,287,,,,
372,4,85,19.558908462524414,-0.025377439334988594,-0.018464170396327972,19.584285736083984,,,,False,0.6913268566131592,0.6913268566131592,0.0,0.0,0.0,0.0,1.0,1.1434684991836548,-5.6098490297529224e-09,11.828672409057617,nnknn_target_value_model,0,0,0,0,0,49,85,0,0,0,0,21.25,0,4,mlp,,nnknn,372,,,,
443,4,71,12.777170181274414,-0.03140280023217201,-0.024505022913217545,12.808572769165039,12.780691146850586,0.5534791946411133,10.421795845031738,True,0.6897776126861572,0.6897776126861572,0.0,0.0,0.0,0.0,1.0,-0.551315426826477,-1.1753028772432117e-08,9.861054420471191,nnknn_target_value_model,0,0,0,0,0,27,71,0,0,0,0,17.75,0,4,mlp,,nnknn,443,,,,
544,4,101,20.040346145629883,-0.03382372856140137,-0.026928585022687912,20.074169158935547,,,,False,0.6895142793655396,0.6895142793655396,0.0,0.0,0.0,0.0,1.0,1.335769772529602,-1.06226094587214e-08,12.959365844726562,nnknn_target_value_model,0,0,0,0,0,55,101,50,0,0,0,25.25,0,4,mlp,,nnknn,494,,,,
684,4,140,67.01119995117188,-0.023352745920419693,-0.01646498776972294,67.03455352783203,,,,False,0.6887757778167725,0.6887757778167725,0.0,0.0,0.0,0.0,1.0,4.550894737243652,0.0,16.837596893310547,nnknn_target_value_model,0,0,0,0,0,96,140,156,0,0,0,35.0,0,4,mlp,,nnknn,478,,,,
782,4,98,25.870588302612305,-0.03185303136706352,-0.024980619549751282,25.902441024780273,25.672822952270508,0.6104331016540527,13.74024772644043,True,0.6872411370277405,0.6872411370277405,0.0,0.0,0.0,0.0,1.0,0.12908868491649628,3.6492640020924227e-09,13.84757137298584,nnknn_target_value_model,0,0,0,0,0,46,98,83,0,0,0,24.5,0,4,mlp,,nnknn,493,,,,
900,4,118,47.607765197753906,-0.03164270892739296,-0.024768350645899773,47.639408111572266,,,,False,0.6874356865882874,0.6874356865882874,0.0,0.0,0.0,0.0,1.0,1.5714415311813354,-4.040992873655114e-09,17.53562355041504,nnknn_target_value_model,0,0,0,0,0,65,118,111,0,0,0,29.5,0,4,mlp,,nnknn,500,,,,
1004,4,104,39.650814056396484,-0.025238920003175735,-0.01837179809808731,39.67605209350586,38.53458786010742,0.4943775534629822,14.129467964172363,True,0.6867122054100037,0.6867122054100037,0.0,0.0,0.0,0.0,1.0,0.9879403114318848,0.0,15.1055326461792,nnknn_target_value_model,0,0,0,0,0,50,104,69,35,0,0,26.0,0,4,mlp,,nnknn,500,,,,
