global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
20,1,20.0,20,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5734989643096924, 0.42650106549263]","[0.5734989643096924, 0.42650106549263]",,,,
40,2,20.0,20,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5619291067123413, 0.4380708932876587]","[0.5619291067123413, 0.4380708932876587]",,,,
60,3,20.0,20,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5735152363777161, 0.4264847934246063]","[0.5735152363777161, 0.4264847934246063]",,,,
79,4,19.0,19,64.83038330078125,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.510339081287384, 0.4896608591079712]","[0.510339081287384, 0.4896608591079712]",,,,
96,5,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5212875604629517, 0.4787124991416931]","[0.5212875604629517, 0.4787124991416931]",,,,
120,6,24.0,24,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.6362819075584412, 0.363718181848526]","[0.6362819075584412, 0.363718181848526]",,,,
190,7,70.0,70,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5806740522384644, 0.41932588815689087]","[0.5806740522384644, 0.41932588815689087]",,,,
241,8,51.0,51,90.27400207519531,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5061994194984436, 0.493800550699234]","[0.5061994194984436, 0.493800550699234]",,,,
274,9,33.0,33,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.6237816214561462, 0.37621843814849854]","[0.6237816214561462, 0.37621843814849854]",,,,
292,10,18.0,18,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.6218962669372559, 0.37810376286506653]","[0.6218962669372559, 0.37810376286506653]",,,,
311,11,19.0,19,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5928522348403931, 0.4071477949619293]","[0.5928522348403931, 0.4071477949619293]",,,,
327,12,16.0,16,27.43178367614746,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.6226215958595276, 0.3773784637451172]","[0.6226215958595276, 0.3773784637451172]",,,,
344,13,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5014260411262512, 0.49857401847839355]","[0.5014260411262512, 0.49857401847839355]",,,,
362,14,18.0,18,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5884432196617126, 0.41155681014060974]","[0.5884432196617126, 0.41155681014060974]",,,,
380,15,18.0,18,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.4996332824230194, 0.5003668069839478]","[0.4996332824230194, 0.5003668069839478]",,,,
400,16,20.0,20,14.186448097229004,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5964398384094238, 0.4035601019859314]","[0.5964398384094238, 0.4035601019859314]",,,,
417,17,17.0,17,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5072810649871826, 0.49271896481513977]","[0.5072810649871826, 0.49271896481513977]",,,,
443,18,26.0,26,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.5574483871459961, 0.4425516128540039]","[0.5574483871459961, 0.4425516128540039]",,,,
517,19,74.0,74,,mlp,,0,0,0,0,0,0,0,0,0.0,0.0,True,"[0.589443564414978, 0.41055646538734436]","[0.589443564414978, 0.41055646538734436]",,,,
529,20,12.0,12,62.13022994995117,mlp,,50,0,0,0,50,0,0,0,0.0,0.0,True,"[0.4999217391014099, 0.5000782012939453]","[0.4999217391014099, 0.5000782012939453]",,,,
556,21,27.0,27,,mlp,,50,0,0,0,50,0,0,0,0.0,0.0,True,"[0.4994712471961975, 0.5005287528038025]","[0.4994712471961975, 0.5005287528038025]",,,,
577,22,21.0,21,,mlp,,50,0,0,0,50,0,0,0,0.0,0.0,True,"[0.5030560493469238, 0.4969439208507538]","[0.5030560493469238, 0.4969439208507538]",,,,
609,23,32.0,32,,mlp,,50,0,0,0,50,0,0,0,0.0,0.0,True,"[0.5058671236038208, 0.494132936000824]","[0.5058671236038208, 0.494132936000824]",,,,
630,24,21.0,21,33.63792037963867,mlp,,133,0,0,0,133,0,0,0,0.0,0.0,True,"[0.5077861547470093, 0.4922138750553131]","[0.5077861547470093, 0.4922138750553131]",,,,
646,25,16.0,16,,mlp,,133,0,0,0,133,0,0,0,0.0,0.0,True,"[0.4999668300151825, 0.5000331401824951]","[0.4999668300151825, 0.5000331401824951]",,,,
670,26,24.0,24,,mlp,,133,0,0,0,133,0,0,0,0.0,0.0,True,"[0.527376651763916, 0.472623348236084]","[0.527376651763916, 0.472623348236084]",,,,
687,27,17.0,17,,mlp,,133,0,0,0,133,0,0,0,0.0,0.0,True,"[0.5043249130249023, 0.49567505717277527]","[0.5043249130249023, 0.49567505717277527]",,,,
698,28,11.0,11,15.731012344360352,mlp,,199,0,0,0,199,0,0,0,0.0,0.0,True,"[0.5159114599227905, 0.48408859968185425]","[0.5159114599227905, 0.48408859968185425]",,,,
709,29,11.0,11,,mlp,,199,0,0,0,199,0,0,0,0.0,0.0,True,"[0.5330090522766113, 0.46699100732803345]","[0.5330090522766113, 0.46699100732803345]",,,,
752,30,43.0,43,,mlp,,199,0,0,0,199,0,0,0,0.0,0.0,True,"[0.49496620893478394, 0.5050337910652161]","[0.49496620893478394, 0.5050337910652161]",,,,
761,31,9.0,9,,mlp,,199,0,0,0,199,0,0,0,0.0,0.0,True,"[0.5143174529075623, 0.48568251729011536]","[0.5143174529075623, 0.48568251729011536]",,,,
790,32,29.0,29,29.805334091186523,mlp,,296,0,0,0,296,0,0,0,0.0,0.0,True,"[0.5086943507194519, 0.49130570888519287]","[0.5086943507194519, 0.49130570888519287]",,,,
805,33,15.0,15,,mlp,,296,0,0,0,296,0,0,0,0.0,0.0,True,"[0.5294656157493591, 0.4705342948436737]","[0.5294656157493591, 0.4705342948436737]",,,,
830,34,25.0,25,,mlp,,296,0,0,0,296,0,0,0,0.0,0.0,True,"[0.538381814956665, 0.46161821484565735]","[0.538381814956665, 0.46161821484565735]",,,,
845,35,15.0,15,,mlp,,296,0,0,0,296,0,0,0,0.0,0.0,True,"[0.4965099096298218, 0.5034900903701782]","[0.4965099096298218, 0.5034900903701782]",,,,
865,36,20.0,20,23.410512924194336,mlp,,367,0,0,0,367,0,0,0,0.0,0.0,True,"[0.48002755641937256, 0.5199725031852722]","[0.48002755641937256, 0.5199725031852722]",,,,
923,37,58.0,58,,mlp,,367,0,0,0,367,0,0,0,0.0,0.0,True,"[0.5201613903045654, 0.47983866930007935]","[0.5201613903045654, 0.47983866930007935]",,,,
