global_step,case_store,source,cases_pruned,cases_replaced,case_entries,action_counts,bias_min,bias_mean,bias_max
504,critic,capacity_insert,25,0,479,,-0.001379467430524528,4.280944631318562e-05,0.001957518048584461
558,critic,capacity_insert,50,0,483,,-0.0007905640522949398,0.00015303899999707937,0.0023153158836066723
612,critic,capacity_insert,49,0,488,,-0.0006654910393990576,0.00026677187997847795,0.0026997055392712355
712,critic,capacity_insert,97,0,491,,-0.00030780924134887755,0.00037475815042853355,0.0026173877995461226
821,critic,capacity_insert,107,0,493,,0.0,0.000457810761872679,0.002807307057082653
882,actor,capacity_insert,25,0,482,"[238, 244]",-0.002508151577785611,-6.533421696985897e-07,0.003731327597051859
882,critic,capacity_insert,64,0,490,,-4.0046875537935733e-11,0.0005372351733967662,0.0033073066733777523
971,actor,capacity_insert,25,0,497,"[244, 253]",-0.0019367627101019025,0.00010258560359943658,0.0042308964766561985
971,critic,capacity_insert,69,10,500,,0.0,0.0006009113858453929,0.00361640565097332
1059,actor,capacity_insert,50,0,496,"[243, 253]",-0.0013977608177810907,0.0002866997674573213,0.004267564509063959
1059,critic,capacity_insert,81,7,500,,0.0,0.0006390439230017364,0.004116405267268419
1059,actor,scheduled_batch_boundary,25,0,471,"[226, 245]",-0.001064619398675859,0.00036893258220516145,0.004267564509063959
1110,critic,capacity_insert,65,0,486,,0.0,0.0007280881400220096,0.004616405349224806
1166,actor,capacity_insert,25,0,476,"[233, 243]",-0.001020099618472159,0.0003969782264903188,0.004449643660336733
1166,critic,capacity_insert,50,0,492,,-1.2386591752289178e-10,0.0007788907969370484,0.004249327350407839
1264,actor,capacity_insert,50,0,494,"[246, 248]",-0.0007649317267350852,0.0004985742853023112,0.003967688884586096
1264,critic,capacity_insert,79,11,500,,0.0,0.0007799231098033488,0.004513600841164589
1396,actor,capacity_insert,100,0,481,"[246, 235]",-0.00047757153515703976,0.0006376011297106743,0.004051564261317253
1396,critic,capacity_insert,74,58,500,,0.0,0.0008465590071864426,0.004749326966702938
1484,actor,capacity_insert,25,0,500,"[247, 253]",-0.0004999150987714529,0.0006388537003658712,0.004545664414763451
1484,critic,capacity_insert,62,26,500,,0.0,0.0008804044919088483,0.004499996080994606
1564,actor,capacity_insert,50,0,483,"[249, 234]",-0.0004626926966011524,0.0006917737773619592,0.005044987425208092
1564,critic,capacity_insert,68,12,500,,0.0,0.0009202229557558894,0.004999996162950993
1646,actor,capacity_insert,25,0,484,"[252, 232]",-0.0004984894185326993,0.0007314914255402982,0.005540397949516773
1646,critic,capacity_insert,46,36,500,,0.0,0.0009758988162502646,0.0054315500892698765
1726,actor,capacity_insert,25,0,487,"[255, 232]",-0.0004999154480174184,0.0007970195729285479,0.006039950530976057
1726,critic,capacity_insert,82,0,498,,0.0,0.001044866512529552,0.005931549239903688
1825,actor,capacity_insert,50,0,490,"[262, 228]",-0.00030776701169088483,0.0008810539147816598,0.0055410852655768394
1825,critic,capacity_insert,54,43,500,,0.0,0.0011052993359044194,0.006116404663771391
