global_step,episode,episode_return,episode_length,loss,actor_type,case_entries,cases_pruned,cases_replaced,actor_cases_pruned,actor_cases_replaced,critic_cases_pruned,critic_cases_replaced,critic_label_updates,critic_label_update_samples,exploration_epsilon,behavior_epsilon,policy_ready,action_probs,behavior_action_probs,action_counts,bias_min,bias_mean,bias_max
15,1,15.0,15,,nnknn,0,0,0,0,0,0,0,0,0,0.9998226666666666,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
33,2,18.0,18,,nnknn,0,0,0,0,0,0,0,0,0,0.9995946666666666,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
74,3,41.0,41,,nnknn,0,0,0,0,0,0,0,0,0,0.9990753333333333,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[0, 0]",,,
96,4,22.0,22,92.37677001953125,nnknn,96,0,0,0,0,0,0,0,0,0.9987966666666667,1.0,False,"[0.5, 0.5]","[0.5, 0.5]","[49, 47]",0.0,0.0,0.0
118,5,22.0,22,,nnknn,96,0,0,0,0,0,0,0,0,0.998518,0.998518,True,"[0.405141144990921, 0.5948588252067566]","[0.49985942244529724, 0.5001406073570251]","[49, 47]",0.0,0.0,0.0
152,6,34.0,34,,nnknn,96,0,0,0,0,0,0,0,0,0.9980873333333333,0.9980873333333333,True,"[0.64394611120224, 0.35605388879776]","[0.5002753138542175, 0.49972468614578247]","[49, 47]",0.0,0.0,0.0
184,7,32.0,32,,nnknn,96,0,0,0,0,0,0,0,0,0.997682,0.997682,True,"[0.647312343120575, 0.35268768668174744]","[0.5003414750099182, 0.4996585249900818]","[49, 47]",0.0,0.0,0.0
198,8,14.0,14,34.772789001464844,nnknn,163,0,0,0,0,0,0,0,0,0.9975046666666667,0.9975046666666667,True,"[0.5874156951904297, 0.4125842750072479]","[0.5002181529998779, 0.49978187680244446]","[79, 84]",-0.0004999113152734935,-2.7629266696749255e-05,0.0004999543889425695
213,9,15.0,15,,nnknn,163,0,0,0,0,0,0,0,0,0.9973146666666667,0.9973146666666667,True,"[0.49539265036582947, 0.5046073198318481]","[0.4999876320362091, 0.5000123977661133]","[79, 84]",-0.0004999113152734935,-2.7629266696749255e-05,0.0004999543889425695
224,10,11.0,11,,nnknn,163,0,0,0,0,0,0,0,0,0.9971753333333333,0.9971753333333333,True,"[0.3913367688655853, 0.6086632609367371]","[0.4996930658817291, 0.5003069639205933]","[79, 84]",-0.0004999113152734935,-2.7629266696749255e-05,0.0004999543889425695
241,11,17.0,17,,nnknn,163,0,0,0,0,0,0,0,0,0.99696,0.99696,True,"[0.6896764039993286, 0.3103236258029938]","[0.5005766153335571, 0.49942338466644287]","[79, 84]",-0.0004999113152734935,-2.7629266696749255e-05,0.0004999543889425695
267,12,26.0,26,13.504611015319824,nnknn,188,0,0,0,0,0,0,0,0,0.9966306666666667,0.9966306666666667,True,"[0.3890150487422943, 0.6109849810600281]","[0.4996260404586792, 0.5003739595413208]","[92, 96]",-0.0009996247244998813,-6.245038093766198e-05,0.0009925896301865578
279,13,12.0,12,,nnknn,188,0,0,0,0,0,0,0,0,0.9964786666666666,0.9964786666666666,True,"[0.6921605467796326, 0.3078394830226898]","[0.5006766319274902, 0.4993233382701874]","[92, 96]",-0.0009996247244998813,-6.245038093766198e-05,0.0009925896301865578
292,14,13.0,13,,nnknn,188,0,0,0,0,0,0,0,0,0.996314,0.996314,True,"[0.48985764384269714, 0.5101423859596252]","[0.49996262788772583, 0.5000373721122742]","[92, 96]",-0.0009996247244998813,-6.245038093766198e-05,0.0009925896301865578
304,15,12.0,12,,nnknn,188,0,0,0,0,0,0,0,0,0.996162,0.996162,True,"[0.5019493699073792, 0.49805065989494324]","[0.5000075101852417, 0.4999925196170807]","[92, 96]",-0.0009996247244998813,-6.245038093766198e-05,0.0009925896301865578
320,16,16.0,16,6.502089500427246,nnknn,198,0,0,0,0,0,0,0,0,0.9959593333333333,0.9959593333333333,True,"[0.6035252809524536, 0.3964747488498688]","[0.5004183053970337, 0.4995816946029663]","[97, 101]",-0.001471971976570785,-9.351276094093919e-05,0.0014745218213647604
334,17,14.0,14,,nnknn,198,0,0,0,0,0,0,0,0,0.995782,0.995782,True,"[0.5939006209373474, 0.406099408864975]","[0.5003960728645325, 0.49960392713546753]","[97, 101]",-0.001471971976570785,-9.351276094093919e-05,0.0014745218213647604
359,18,25.0,25,,nnknn,198,0,0,0,0,0,0,0,0,0.9954653333333333,0.9954653333333333,True,"[0.40606045722961426, 0.5939395427703857]","[0.4995740056037903, 0.5004259943962097]","[97, 101]",-0.001471971976570785,-9.351276094093919e-05,0.0014745218213647604
382,19,23.0,23,,nnknn,198,0,0,0,0,0,0,0,0,0.995174,0.995174,True,"[0.4897476136684418, 0.5102524161338806]","[0.4999505281448364, 0.5000494718551636]","[97, 101]",-0.001471971976570785,-9.351276094093919e-05,0.0014745218213647604
392,20,10.0,10,12.77871322631836,nnknn,231,0,0,0,0,0,0,0,0,0.9950473333333333,0.9950473333333333,True,"[0.7866529822349548, 0.21334703266620636]","[0.501419723033905, 0.49858030676841736]","[117, 114]",-0.0019203776028007269,-0.00010779003059724346,0.0019471988780423999
415,21,23.0,23,,nnknn,231,0,0,0,0,0,0,0,0,0.994756,0.994756,True,"[0.7007356286048889, 0.2992643713951111]","[0.5010526776313782, 0.4989473521709442]","[117, 114]",-0.0019203776028007269,-0.00010779003059724346,0.0019471988780423999
430,22,15.0,15,,nnknn,231,0,0,0,0,0,0,0,0,0.994566,0.994566,True,"[0.6157184839248657, 0.38428154587745667]","[0.5006288290023804, 0.499371200799942]","[117, 114]",-0.0019203776028007269,-0.00010779003059724346,0.0019471988780423999
452,23,22.0,22,,nnknn,231,0,0,0,0,0,0,0,0,0.9942873333333333,0.9942873333333333,True,"[0.4176044762134552, 0.5823955535888672]","[0.49952930212020874, 0.5004706978797913]","[117, 114]",-0.0019203776028007269,-0.00010779003059724346,0.0019471988780423999
472,24,20.0,20,17.37671661376953,nnknn,275,0,0,0,0,0,0,0,0,0.994034,0.994034,True,"[0.4964456558227539, 0.5035544037818909]","[0.49997878074645996, 0.50002121925354]","[142, 133]",-0.0023756695445626974,-0.00010941686196019873,0.0024262142833322287
502,25,30.0,30,,nnknn,275,0,0,0,0,0,0,0,0,0.993654,0.993654,True,"[0.8052579164505005, 0.1947420835494995]","[0.5019371509552002, 0.4980628490447998]","[142, 133]",-0.0023756695445626974,-0.00010941686196019873,0.0024262142833322287
518,26,16.0,16,,nnknn,275,0,0,0,0,0,0,0,0,0.9934513333333334,0.9934513333333334,True,"[0.6995798349380493, 0.30042019486427307]","[0.50130695104599, 0.4986930191516876]","[142, 133]",-0.0023756695445626974,-0.00010941686196019873,0.0024262142833322287
532,27,14.0,14,,nnknn,275,0,0,0,0,0,0,0,0,0.993274,0.993274,True,"[0.2964538335800171, 0.7035461664199829]","[0.49863094091415405, 0.501369059085846]","[142, 133]",-0.0023756695445626974,-0.00010941686196019873,0.0024262142833322287
552,28,20.0,20,14.905458450317383,nnknn,313,0,0,0,0,0,0,0,0,0.9930206666666667,0.9930206666666667,True,"[0.7096768617630005, 0.2903231382369995]","[0.5014634132385254, 0.4985365867614746]","[162, 151]",-0.0028055557049810886,-0.00011869799345731735,0.002873944817110896
568,29,16.0,16,,nnknn,313,0,0,0,0,0,0,0,0,0.992818,0.992818,True,"[0.7990832328796387, 0.2009168118238449]","[0.5021480321884155, 0.49785199761390686]","[162, 151]",-0.0028055557049810886,-0.00011869799345731735,0.002873944817110896
591,30,23.0,23,,nnknn,313,0,0,0,0,0,0,0,0,0.9925266666666667,0.9925266666666667,True,"[0.6048036217689514, 0.3951963782310486]","[0.5007832050323486, 0.499216765165329]","[162, 151]",-0.0028055557049810886,-0.00011869799345731735,0.002873944817110896
612,31,21.0,21,,nnknn,313,0,0,0,0,0,0,0,0,0.9922606666666667,0.9922606666666667,True,"[0.6959019899368286, 0.30409806966781616]","[0.5015161633491516, 0.4984838664531708]","[162, 151]",-0.0028055557049810886,-0.00011869799345731735,0.002873944817110896
632,32,20.0,20,6.2573347091674805,nnknn,348,0,0,0,0,0,0,0,0,0.9920073333333334,0.9920073333333334,True,"[0.4091506004333496, 0.5908493995666504]","[0.4992738664150238, 0.5007261037826538]","[180, 168]",-0.0032512610778212547,-0.00012801692355424166,0.0033254623413085938
642,33,10.0,10,,nnknn,348,0,0,0,0,0,0,0,0,0.9918806666666666,0.9918806666666666,True,"[0.40324124693870544, 0.5967587232589722]","[0.49921438097953796, 0.5007855892181396]","[180, 168]",-0.0032512610778212547,-0.00012801692355424166,0.0033254623413085938
654,34,12.0,12,,nnknn,348,0,0,0,0,0,0,0,0,0.9917286666666667,0.9917286666666667,True,"[0.80428147315979, 0.19571854174137115]","[0.5025168061256409, 0.49748319387435913]","[180, 168]",-0.0032512610778212547,-0.00012801692355424166,0.0033254623413085938
670,35,16.0,16,,nnknn,348,0,0,0,0,0,0,0,0,0.991526,0.991526,True,"[0.8027818202972412, 0.19721819460391998]","[0.5025657415390015, 0.49743422865867615]","[180, 168]",-0.0032512610778212547,-0.00012801692355424166,0.0033254623413085938
681,36,11.0,11,7.048417091369629,nnknn,360,0,0,0,0,0,0,0,0,0.9913866666666666,0.9913866666666666,True,"[0.8152140974998474, 0.1847858726978302]","[0.5027150511741638, 0.4972849488258362]","[188, 172]",-0.003629651851952076,-0.0001456975151086226,0.003695635125041008
699,37,18.0,18,,nnknn,360,0,0,0,0,0,0,0,0,0.9911586666666666,0.9911586666666666,True,"[0.8218191266059875, 0.17818085849285126]","[0.502845287322998, 0.49715468287467957]","[188, 172]",-0.003629651851952076,-0.0001456975151086226,0.003695635125041008
713,38,14.0,14,,nnknn,360,0,0,0,0,0,0,0,0,0.9909813333333334,0.9909813333333334,True,"[0.40500161051750183, 0.5949984192848206]","[0.49914324283599854, 0.5008567571640015]","[188, 172]",-0.003629651851952076,-0.0001456975151086226,0.003695635125041008
